Tipo;Categoria / Grupo;Nome do Item / Sabor;Descrição;Preço (R$);Disponível;Grupos Vinculados;Foto URL
"PRODUTO";"Bebidas";"Guarana Antartica 2 litros";"";"18,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1744813059392blob"
"PRODUTO";"Bebidas";"Guaraná lata 350ml";"";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/66b65c7c19c2c800127a0b68/-1724961891114blob"
"PRODUTO";"Bebidas";"Guaraná Zero 350ml";"";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/673f812029093a0019dc5c8c/-1734016791603blob"
"PRODUTO";"Bebidas";"H2oh! 500ml";"";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/66b65c7c19c2c800127a0b68/-1724962344302blob"
"PRODUTO";"Bebidas";"Cerveja Heineken 330ml";"";"12,00";"Sim";"";"https://client-assets.anota.ai/produtos/6756ffa0cb53070012567557/-1733836052045blob"
"PRODUTO";"Bebidas";"Cerveja Heineken 600ml";"Com retorno do CASCO. Caso não tenha o casco acréscimo de 2 reais por CASCO.";"18,00";"Sim";"";"https://client-assets.anota.ai/produtos/673bc7b2e12bd700112cf670/-1734010575946blob"
"PRODUTO";"Bebidas";"Cerveja Original 350ml";"";"9,00";"Sim";"";"https://client-assets.anota.ai/produtos/66b65c7c19c2c800127a0b68/-1725022459372blob"
"PRODUTO";"Bebidas";"Cerveja Original 600ml";"Com retorno do CASCO. Caso não tenha o casco acréscimo de 2 reais por CASCO.";"15,00";"Sim";"";"https://client-assets.anota.ai/produtos/673f812029093a0019dc5c8c/-1734016869785blob"
"PRODUTO";"Bebidas";"Schweppes 350ml";"";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/66b65c7c19c2c800127a0b68/-1725894637957blob"
"PRODUTO";"Bebidas";"Sprite lata 350ml";"";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/67575d86c49652001203a1bc/-1733928863483blob"
"PRODUTO";"Bebidas";"Brahma 600ml";"Com retorno do CASCO. Caso não tenha o casco acréscimo de 2 reais por CASCO.";"14,00";"Sim";"";""
"PRODUTO";"Bebidas";"Suco Prats Laranja 300ml";"";"11,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1736092563141blob"
"PRODUTO";"Bebidas";"Suco Prats Laranja 900ml";"";"19,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1736092596548blob"
"PRODUTO";"Bebidas";"Suco Prats Uva 300ml";"";"11,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1736092620296blob"
"PRODUTO";"Bebidas";"Suco Prats Uva 900ml";"";"19,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1736092658979blob"
"PRODUTO";"Bebidas";"Coca zero 600";"";"12,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1747413026820blob"
"PRODUTO";"Bebidas";"Cerveja Heinecken zero 330ml";"";"12,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1763336371056blob"
"PRODUTO";"Bebidas";"Dose Maracutala";"";"12,00";"Sim";"";""
"PRODUTO";"Bebidas";"Red Bull ";"Lata 250ml ";"15,00";"Sim";"";""
"PRODUTO";"Bebidas";"DOSE CHIVAS";"";"25,00";"Sim";"";""
"PRODUTO";"Bebidas";"Dose Black Label ";"";"30,00";"Sim";"";""
"PRODUTO";"Chocolate, chiclete e balas ";"Ficha Sinuca";"";"3,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1745436479407blob"
"PRODUTO";"Chocolate, chiclete e balas ";"Halls Cereja";"";"4,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1745436824439blob"
"PRODUTO";"Chocolate, chiclete e balas ";"Halls Morango";"";"4,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1745436773839blob"
"PRODUTO";"Chocolate, chiclete e balas ";"Halls Preto";"";"4,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1745436721577blob"
"PRODUTO";"Chocolate, chiclete e balas ";"Trident de Canela";"";"4,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1745436612115blob"
"PRODUTO";"Chocolate, chiclete e balas ";"Trident de Tuti Fruti";"";"4,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1745436668818blob"
"PRODUTO";"Chocolate, chiclete e balas ";"Trident Hortelã";"";"4,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1745436548001blob"
"PRODUTO";"Combos Lanches";"Combo X - Bacon";"Pão, molho caseiro, hambúrguer artesanal 160gr, ovo frito, mussarela, presunto, bacon em cubos, alface, tomate, milho e ervilha. 100 gramas de batata frita. Coca cola 350ml, podendo trocar por outro refrigerante lata (guarana antartica, fanta uva, fanta laranja ou coca zero).";"42,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1780004245432blob"
"PRODUTO";"Combos Lanches";"Combo X - Salada";"Pão, molho caseiro, hambúrguer artesanal 160gr, ovo frito, mussarela presunto, alface, tomate, milho e ervilha. 100 gr de batata frita. Coca cola 350ml podendo trocar por outro refrigerante lata (guarana antartica, fanta laranja, fanta uva ou coca zero.";"35,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1780004237193blob"
"PRODUTO";"Combos Lanches";"Combo X-burguer";"Pão, molho caseiro, hambúrguer artesanal 160gr, ovo frito, mussarela e presunto. 100gr de batata frita. Coca cola 350ml podendo trocar por outro refrigerante (guarana antartica, fanta uva, fanta laranta, coca zero.";"30,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1780004233754blob"
"PRODUTO";"Promoção Terça, Quarta e Quinta sabores tradicionais";"Pequena ";"Pizza com até 2 sabores e 6 fatias";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1781105506799blob"
"PRODUTO";"Promoção Terça, Quarta e Quinta sabores tradicionais";"Media";"Pizza com até 2 sabores e 8 fatias";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1781105506800blob"
"PRODUTO";"Promoção Terça, Quarta e Quinta sabores tradicionais";"Grande";"Pizza com até 3 sabores e 12 fatias";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1781105506925blob"
"PRODUTO";"Promoção Terça, Quarta e Quinta sabores tradicionais";"Familia";"Pizza com até 4 sabores e 16 fatias";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1781105506698blob"
"PRODUTO";"Promoção Terça, Quarta e Quinta sabores tradicionais";"Gigante";"Pizza com até 4 sabores e 20 fatias";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1781105506892blob"
"ADICIONAL / SABOR";"[GRUPO] Adicionais";"Queijo";"";"5,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737860542738blob"
