Grupo de Opções;Sabor / Adicional;Descrição;Preço (R$);Disponível
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"53. Siciliana";"Molho de tomate caseiro, mussarela, bacon, champignon, catupiry e orégano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"NORDESTINA ";" Molho de tomate caseiro, carne seca, cebola roxa, catupiry, mussarela, pimenta biquinho e orégano. ";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"36. Bolonhesa";"Molho de tomate caseiro, mussarela, carne moída, cebola, tomate e pimentão.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"11. Calabresa";"Molho de tomate caseiro, mussarela, calabresa e orégano. ";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"35. Atum";"Molho de tomate caseiro, mussarela, atum, cebola, catupiry e orégano. +";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"46. Filé aos 5 queijos";"Molho de tomate caseiro, mussarela, provolone, parmesão, catupiry, cheddar e filé.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"41. Filé ao alho";"Molho de tomate caseiro, mussarela, filé, alho frito e orégano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"34. Verona";"Molho de tomate caseiro, mussarela, lombo canadense, palmito, milho, catupiry, alho frito e orégano. ";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"51. Pepperoni";"Molho de tomate caseiro, mussarela, pepperoni e orégano. ";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"8. Bacon com abacaxi";"Molho caseiro, mussarela, bacon e abacaxi.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"9. Baiana";"Molho de tomate caseiro, mussarela, calabresa, cebola, pimenta calabresa, azeitonas verde e orégano.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"27. Milho com catupiry";"Molho de tomate caseiro, mussarela, milho e catupiry.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"2. Alhobresa";"Molho de tomate caseiro, mussarela, calabresa, alho e orégano. ";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"61. 6 Queijos com bacon";"Molho de tomate caseiro, mussarela, provolone, parmesão, gorgonzola, catupiry, cheddar e orégano. ";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"52. Rúcula com tomate seco";"Molho de tomate caseiro, mussarela, tomate seco, rúcula e orégano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"26. Marguerita";"Molho de tomate caseiro, mussarela, tomate, manjericão, azeitonas pretas e orégano.";"0,00";"Sim"
